timestamp,rpc_rtt(us),rpc_ff_rtt(us),upcxx_version
1675640365.225016,3.05242,2.41136,upcxx-2022.9.0-0-g27b0fedf
1675642583.9034927,3.1158,2.56588,upcxx-2022.9.0-0-g27b0fedf
1675646206.5889854,2.98316,2.43974,upcxx-2022.9.0-0-g27b0fedf
1675649753.4115682,3.06085,2.4577,upcxx-2022.9.0-0-g27b0fedf
1675653410.8213005,3.0157700000000003,2.84115,upcxx-2022.9.0-0-g27b0fedf
1675657304.4666526,3.0385299999999997,2.4247099999999997,upcxx-2022.9.0-0-g27b0fedf
1675660558.7624426,3.07912,2.5175400000000003,upcxx-2022.9.0-0-g27b0fedf
1675664157.9387953,3.1957400000000002,2.94177,upcxx-2022.9.0-0-g27b0fedf
1675667799.602691,3.09758,2.91364,upcxx-2022.9.0-0-g27b0fedf
1675671505.9997694,3.00582,2.5057400000000003,upcxx-2022.9.0-0-g27b0fedf
1675674998.5818446,3.13096,2.48337,upcxx-2022.9.0-0-g27b0fedf
1675678678.49386,3.16047,2.49238,upcxx-2022.9.0-0-g27b0fedf
1675682184.6135714,2.91725,2.46388,upcxx-2022.9.0-0-g27b0fedf
1675685756.568877,3.5206699999999995,2.2808900000000003,upcxx-2022.9.0-0-g27b0fedf
1675689413.298188,2.83439,2.4754400000000003,upcxx-2022.9.0-0-g27b0fedf
1675692957.194686,3.17466,2.46888,upcxx-2022.9.0-0-g27b0fedf
1675696687.4529483,2.84209,2.42898,upcxx-2022.9.0-0-g27b0fedf
1675700187.201101,3.11753,2.4449,upcxx-2022.9.0-0-g27b0fedf
1675703794.117901,2.79986,2.73895,upcxx-2022.9.0-0-g27b0fedf
1675707476.0532794,3.26461,2.9902599999999997,upcxx-2022.9.0-0-g27b0fedf
1675710996.7255476,2.94807,2.6471,upcxx-2022.9.0-0-g27b0fedf
1675714622.0538096,3.02795,2.54386,upcxx-2022.9.0-0-g27b0fedf
1675718167.8962526,2.89137,2.31495,upcxx-2022.9.0-0-g27b0fedf
1675721752.949084,2.92066,2.37602,upcxx-2022.9.0-0-g27b0fedf
1675725359.8551414,3.05924,2.43473,upcxx-2022.9.0-0-g27b0fedf
1675728979.5244093,2.9238299999999997,2.46149,upcxx-2022.9.0-0-g27b0fedf
1675732651.330494,3.08677,2.4269,upcxx-2022.9.0-0-g27b0fedf
1675736308.1405547,2.90862,2.82536,upcxx-2022.9.0-0-g27b0fedf
1675739864.6624935,2.30268,2.44427,upcxx-2022.9.0-0-g27b0fedf
1675743449.4073482,3.0409599999999997,2.39371,upcxx-2022.9.0-0-g27b0fedf
1675747036.598934,2.9081900000000003,2.43896,upcxx-2022.9.0-0-g27b0fedf
1675750570.123843,3.01118,2.91795,upcxx-2022.9.0-0-g27b0fedf
1675754257.107852,3.02202,2.44055,upcxx-2022.9.0-0-g27b0fedf
1675758148.2361858,2.89537,2.37534,upcxx-2022.9.0-0-g27b0fedf
1675761563.021149,3.08351,2.45024,upcxx-2022.9.0-0-g27b0fedf
1675765036.8543992,3.2516,2.52927,upcxx-2022.9.0-0-g27b0fedf
1675768655.3374536,3.07344,2.39528,upcxx-2022.9.0-0-g27b0fedf
1675772154.7199662,2.98762,2.38184,upcxx-2022.9.0-0-g27b0fedf
1675775775.541135,2.95527,2.53369,upcxx-2022.9.0-0-g27b0fedf
1675779368.4380355,2.92225,2.41385,upcxx-2022.9.0-0-g27b0fedf
1675782971.3957255,2.81723,2.43804,upcxx-2022.9.0-0-g27b0fedf
1675786579.269335,2.88761,2.44867,upcxx-2022.9.0-0-g27b0fedf
1675790280.0050926,3.15258,2.5754200000000003,upcxx-2022.9.0-0-g27b0fedf
1675793902.0221145,3.1814299999999998,2.66548,upcxx-2022.9.0-0-g27b0fedf
1675797456.3774786,3.2342,2.60941,upcxx-2022.9.0-0-g27b0fedf
1675801066.1312766,3.0245599999999997,2.5020599999999997,upcxx-2022.9.0-0-g27b0fedf
1675804594.9039214,3.01072,2.62067,upcxx-2022.9.0-0-g27b0fedf
1675808201.431423,4.127619999999999,3.6135099999999998,upcxx-2022.9.0-0-g27b0fedf
1675811795.8005154,2.98508,2.58624,upcxx-2022.9.0-0-g27b0fedf
1675815609.0263686,3.47945,2.49956,upcxx-2022.9.0-0-g27b0fedf
1675820078.4936633,3.03349,2.73331,upcxx-2022.9.0-0-g27b0fedf
1675822864.0105352,4.2578,3.7531199999999996,upcxx-2022.9.0-0-g27b0fedf
1675826295.0334878,3.03035,2.57004,upcxx-2022.9.0-0-g27b0fedf
1675830105.6304338,3.18977,2.5379099999999997,upcxx-2022.9.0-0-g27b0fedf
1675833401.0248735,2.86984,2.6926400000000004,upcxx-2022.9.0-0-g27b0fedf
1675837473.8969562,2.96349,2.38477,upcxx-2022.9.0-0-g27b0fedf
1675839731.1422358,3.02549,3.78179,upcxx-2022.9.0-0-g27b0fedf
