timestamp,duration (s),upcxx_version
1675640335.3128238,0.00298954,upcxx-2022.9.0-0-g27b0fedf
1675642553.1477618,0.00307826,upcxx-2022.9.0-0-g27b0fedf
1675646176.5871005,0.0026493000000000003,upcxx-2022.9.0-0-g27b0fedf
1675649722.4423056,0.00288577,upcxx-2022.9.0-0-g27b0fedf
1675653380.2556784,0.00321272,upcxx-2022.9.0-0-g27b0fedf
1675657274.6616607,0.00303831,upcxx-2022.9.0-0-g27b0fedf
1675660528.4399676,0.00288249,upcxx-2022.9.0-0-g27b0fedf
1675664123.9283886,0.00297689,upcxx-2022.9.0-0-g27b0fedf
1675667740.487071,0.00299378,upcxx-2022.9.0-0-g27b0fedf
1675671475.3160422,0.0032042999999999998,upcxx-2022.9.0-0-g27b0fedf
1675674941.8480935,0.00335761,upcxx-2022.9.0-0-g27b0fedf
1675678618.3708658,0.0031114000000000003,upcxx-2022.9.0-0-g27b0fedf
1675682151.3776894,0.00302501,upcxx-2022.9.0-0-g27b0fedf
1675685724.017906,0.00318314,upcxx-2022.9.0-0-g27b0fedf
1675689382.5369954,0.00312231,upcxx-2022.9.0-0-g27b0fedf
1675692923.3801885,0.0031265,upcxx-2022.9.0-0-g27b0fedf
1675696657.7983124,0.00288217,upcxx-2022.9.0-0-g27b0fedf
1675700151.13985,0.00298206,upcxx-2022.9.0-0-g27b0fedf
1675703764.3462029,0.00310674,upcxx-2022.9.0-0-g27b0fedf
1675707448.4382026,0.0028778000000000002,upcxx-2022.9.0-0-g27b0fedf
1675710965.892174,0.00308261,upcxx-2022.9.0-0-g27b0fedf
1675714589.5989342,0.00285608,upcxx-2022.9.0-0-g27b0fedf
1675718137.2930205,0.00300648,upcxx-2022.9.0-0-g27b0fedf
1675721722.417658,0.00305873,upcxx-2022.9.0-0-g27b0fedf
1675725325.7804706,0.00313569,upcxx-2022.9.0-0-g27b0fedf
1675728952.2150047,0.00269073,upcxx-2022.9.0-0-g27b0fedf
1675732620.2043405,0.00295706,upcxx-2022.9.0-0-g27b0fedf
1675736276.8133733,0.00284949,upcxx-2022.9.0-0-g27b0fedf
1675739833.6476376,0.00295944,upcxx-2022.9.0-0-g27b0fedf
1675743416.3771658,0.00280193,upcxx-2022.9.0-0-g27b0fedf
1675747006.242805,0.00299338,upcxx-2022.9.0-0-g27b0fedf
1675750539.9182765,0.00314966,upcxx-2022.9.0-0-g27b0fedf
1675754223.7399225,0.00301934,upcxx-2022.9.0-0-g27b0fedf
1675757962.421944,0.00306836,upcxx-2022.9.0-0-g27b0fedf
1675761532.370681,0.00302657,upcxx-2022.9.0-0-g27b0fedf
1675764976.7824564,0.00298234,upcxx-2022.9.0-0-g27b0fedf
1675768628.1176536,0.00310131,upcxx-2022.9.0-0-g27b0fedf
1675772121.0075812,0.00302742,upcxx-2022.9.0-0-g27b0fedf
1675775742.891286,0.00307607,upcxx-2022.9.0-0-g27b0fedf
1675779335.9450364,0.00310296,upcxx-2022.9.0-0-g27b0fedf
1675782940.8159704,0.00322128,upcxx-2022.9.0-0-g27b0fedf
1675786548.8415475,0.0029139,upcxx-2022.9.0-0-g27b0fedf
1675790247.1695132,0.00270555,upcxx-2022.9.0-0-g27b0fedf
1675793867.8173056,0.00283734,upcxx-2022.9.0-0-g27b0fedf
1675797425.3812287,0.00314582,upcxx-2022.9.0-0-g27b0fedf
1675801035.4188652,0.00289339,upcxx-2022.9.0-0-g27b0fedf
1675804563.153118,0.0032936,upcxx-2022.9.0-0-g27b0fedf
1675808149.7290914,0.00296719,upcxx-2022.9.0-0-g27b0fedf
1675811765.9759867,0.00290629,upcxx-2022.9.0-0-g27b0fedf
1675815548.0190473,0.00301054,upcxx-2022.9.0-0-g27b0fedf
1675820046.3960426,0.00286346,upcxx-2022.9.0-0-g27b0fedf
1675822832.8051658,0.00336597,upcxx-2022.9.0-0-g27b0fedf
1675826263.4082565,0.00297469,upcxx-2022.9.0-0-g27b0fedf
1675830073.617396,0.00284133,upcxx-2022.9.0-0-g27b0fedf
1675833370.1732929,0.00313572,upcxx-2022.9.0-0-g27b0fedf
1675837412.344063,0.00293624,upcxx-2022.9.0-0-g27b0fedf
1675839669.813121,0.00311442,upcxx-2022.9.0-0-g27b0fedf
